,0
"Ответственность , добросовестность (СК) (614_4)",931.0
Дисциплинированность (СК) (593_4),704.0
"Личные установки и ценности, мировоззрение (2043_4)",348.0
Выполнение работ по осмотру (2683_23),278.0
Выполнение монтажных/демонтажных работ (ОПТ) (8301_36),189.0
Командность (СК) (1371_4),159.0
"Саморазвитие, обучаемость (СК) (604_4)",129.0
"Выполнение работ по регулировке, выправке и промерам (2998_23)",124.0
Пунктуальность (СК) (612_4),107.0
Выполнение работ по очистке (2992_23),99.0
Коммуникабельность (СК) (617_4),96.0
Выполнение погрузо-разгрузочных работ (2986_23),71.0
Высокая работоспособность (СК) (586_4),64.0
Трудолюбие (СК) (597_4),63.0
Выполнение ремонтных работ (ОПТ) (8285_36),50.0
Внимательность (СК) (536_4),48.0
Выполнение работ по ремонту и текущему содержанию ВСП (РЖД) (замена ВСП) (2684_23),36.0
Сборка и разборка промежуточных и стыковых рельсовых скреплений (Текущее содержаниеРЖД) (3755_23),24.0
Знания по выполнению работ по ремонту и текущему содержанию железнодорожного пути (РЖД) (1776_23),12.0
