,0
"Ответственность , добросовестность (СК) (614_4)",404.0
Разработка проектной документации (СПК в строительстве) (6933_10),269.0
Разработка рабочей документации (6972_10),246.0
Дисциплинированность (СК) (593_4),208.0
Знание AutoCAD (3072_10),160.0
Выполнение расчетов (6973_10),104.0
Подбор оборудования (7184_10),103.0
Внимательность (СК) (536_4),97.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",90.0
"Саморазвитие, обучаемость (СК) (604_4)",90.0
Надзор за строительством (6981_10),84.0
Проектирования объектов (6977_10),84.0
Пунктуальность (СК) (612_4),84.0
"Организаторские способности, лидерство (СК) (393_4)",84.0
Оформление КС (5667_10),81.0
Уверенный пользователь AutoCad (6976_10),77.0
Прохождения экспертизы (6978_10),55.0
Самостоятельность (СК) (603_4),47.0
Составление графиков (6998_10),47.0
Инициативность (СК) (610_4),45.0
Подготовка технических заданий (6983_10),40.0
Сопровождение проектной документации (6993_10),39.0
Контроль выполнения работ (7013_10),35.0
Кропотливость (СК) (623_4),25.0
Высокая работоспособность (СК) (586_4),23.0
Знание компьютерных офисных программ (строительство) (4252_10),23.0
Согласование технических решений (7001_10),22.0
Участие в подготовке заданий на разработку проектных решений (6980_10),22.0
Выполнение комплекса геодезических работ (1410_10),20.0
Английский язык (ЯС) (1918_32),18.0
Проектирование систем отопления (6991_10),17.0
Аккуратность (СК) (575_4),16.0
Защита проекта в вышестоящих организациях (7007_10),15.0
Анализ проектной документации (7025_10),15.0
Выезды на объекты (6986_10),13.0
Трудолюбие (СК) (597_4),10.0
Подготовка данных для заключения договоров (7017_10),10.0
