,0
"Ответственность , добросовестность (СК) (614_4)",647.0
Дисциплинированность (СК) (593_4),361.0
Разработка проектной документации (СПК в строительстве) (6933_10),273.0
Разработка рабочей документации (6972_10),207.0
"Саморазвитие, обучаемость (СК) (604_4)",198.0
Знание AutoCAD (3072_10),134.0
Внимательность (СК) (536_4),102.0
Пунктуальность (СК) (612_4),91.0
Выполнение расчетов (6973_10),91.0
Высокая работоспособность (СК) (586_4),67.0
Проектирование систем отопления (6991_10),64.0
"Восприятие, мышление, внимание, память (УСК) (1330_4)",64.0
Уверенный пользователь AutoCad (6976_10),63.0
Подбор оборудования (7184_10),55.0
Инициативность (СК) (610_4),44.0
Проектирования объектов (6977_10),42.0
Выезды на объекты (6986_10),38.0
Участие в подготовке заданий на разработку проектных решений (6980_10),34.0
Самостоятельность (СК) (603_4),34.0
Оформление КС (5667_10),31.0
Аккуратность (СК) (575_4),30.0
Кропотливость (СК) (623_4),27.0
Знание компьютерных офисных программ (строительство) (4252_10),26.0
Надзор за строительством (6981_10),25.0
Трудолюбие (СК) (597_4),22.0
Сопровождение проектной документации (6993_10),15.0
"Организаторские способности, лидерство (СК) (393_4)",15.0
Согласование технических решений (7001_10),14.0
Прохождения экспертизы (6978_10),11.0
Подготовка технических заданий (6983_10),11.0
Выполнение комплекса геодезических работ (1410_10),11.0
Английский язык (ЯС) (1918_32),7.0
Контроль выполнения работ (7013_10),7.0
Защита проекта в вышестоящих организациях (7007_10),5.0
Составление графиков (6998_10),4.0
Подготовка данных для заключения договоров (7017_10),3.0
Анализ проектной документации (7025_10),1.0
